======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE     91   1.213634e+02   6.427127e+00   6.044859e+04   6.017994e+02  -8.326219e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.055029e+04   5.025481e-01   3.394778e-01   3.045135e-01
 POSE     92   1.252365e+02   6.427127e+00   1.393666e+05   5.080609e+02  -8.338736e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.393772e+05   6.179178e-01   3.394778e-01   2.519528e-01
 POSE     93   1.211009e+02   6.427127e+00   3.052751e+02   6.393433e+02  -8.342891e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.425892e+02   5.873741e-01   3.394778e-01   9.783395e-02
 POSE     94   1.257720e+02   6.427127e+00   7.877107e+03   5.004742e+02  -8.364207e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.878091e+03   7.263147e-01   3.394778e-01   9.404311e-02
 POSE     95   1.376362e+02   6.427127e+00   1.265842e+04   5.587667e+02  -8.349990e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.273099e+04   5.678988e-01   3.394778e-01   2.477672e-01
 POSE     96   1.173984e+02   6.427127e+00   9.888749e+04   3.867473e+02  -8.355003e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.876729e+04   5.941911e-01   3.394778e-01   4.276258e-01
 POSE     97   1.165939e+02   6.427127e+00   3.196776e+04   5.798391e+02  -8.304300e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.204492e+04   4.763850e-01   3.394778e-01   2.089304e-01
 POSE     98   1.187110e+02   6.427127e+00   1.669823e+05   4.235188e+02  -8.346355e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.669011e+05   7.234163e-01   3.394778e-01   3.568988e-01
 POSE     99   1.264378e+02   6.427127e+00   5.965412e+03   4.427745e+02  -8.352681e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.910515e+03   6.347565e-01   3.394778e-01   2.037648e-01
 POSE    100   1.213580e+02   6.427127e+00   4.477724e+04   6.086339e+02  -8.338313e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.488456e+04   6.461064e-01   3.394778e-01   3.752738e-01
 POSE    101   1.280508e+02   6.427127e+00   1.478635e+05   5.310758e+02  -8.294326e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.479044e+05   4.233852e-01   3.394778e-01   2.565326e-01
 POSE    102   1.337632e+02   6.427127e+00   2.186338e+04   4.964972e+02  -8.307647e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.187404e+04   6.687920e-01   3.394778e-01   2.646756e-01
 POSE    103   1.342411e+02   6.427127e+00   1.279909e+05   5.884140e+02  -8.318903e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.280928e+05   6.313952e-01   3.394778e-01   4.587624e-01
 POSE    104   1.160415e+02   6.427127e+00   4.282619e+04   6.018713e+02  -8.378913e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.291737e+04   3.780297e-01   3.394778e-01   3.474825e-01
 POSE    105   1.405150e+02   6.427127e+00   7.198638e+02   4.190316e+02  -8.320357e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.585336e+02   6.685490e-01   3.394778e-01   1.637533e-01
 POSE    106   1.280417e+02   6.427127e+00   1.773842e+04   6.987593e+02  -8.355592e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.794082e+04   6.441477e-01   3.394778e-01   2.855219e-01
 POSE    107   1.158581e+02   6.427127e+00   3.783137e+03   6.581846e+02  -8.379456e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.930393e+03   6.355556e-01   3.394778e-01   1.572769e-01
 POSE    108   1.358526e+02   6.427127e+00   5.795113e+03   4.112265e+02  -8.305343e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.722817e+03   5.613363e-01   3.394778e-01   2.521023e-01
 POSE    109   1.200633e+02   6.427127e+00   2.279052e+04   5.862701e+02  -8.318195e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.287620e+04   3.529696e-01   3.394778e-01   2.747821e-01
 POSE    110   1.147259e+02   6.427127e+00   7.055898e+04   5.348833e+02  -8.373114e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.058244e+04   5.465464e-01   3.394778e-01   4.058438e-01
 POSE    111   1.348329e+02   6.427127e+00   1.002150e+05   4.702953e+02  -8.311867e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.002001e+05   4.785022e-01   3.394778e-01   2.320355e-01
