======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE   1664   1.303746e+02   6.427127e+00   1.635168e+04   5.689771e+02  -8.308863e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.643130e+04   7.193932e-01   3.394778e-01   2.514488e-01
 POSE   1665   1.252709e+02   6.427127e+00   3.772499e+03   5.397624e+02  -8.352409e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.813450e+03   7.284854e-01   3.394778e-01   1.226196e-01
 POSE   1666   1.268176e+02   6.427127e+00   5.410271e+04   4.586997e+02  -8.367705e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.406262e+04   6.878864e-01   3.394778e-01   2.942915e-01
 POSE   1667   1.157303e+02   6.427127e+00   4.115487e+04   6.069813e+02  -8.372338e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.125151e+04   7.188083e-01   3.394778e-01   2.639322e-01
 POSE   1668   1.326083e+02   6.427127e+00   7.505727e+04   4.593968e+02  -8.312482e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.502919e+04   5.524456e-01   3.394778e-01   3.722052e-01
 POSE   1669   1.185113e+02   6.427127e+00   2.832254e+05   6.916794e+02  -8.360557e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.834107e+05   6.140675e-01   3.394778e-01   3.059812e-01
 POSE   1670   1.220060e+02   6.427127e+00   2.660665e+04   6.160100e+02  -8.350742e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.672075e+04   5.045316e-01   3.394778e-01   2.021883e-01
 POSE   1671   1.406174e+02   6.427127e+00   6.528431e+04   5.246092e+02  -8.332329e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.532747e+04   2.891420e-01   3.394778e-01   3.338844e-01
 POSE   1672   1.226329e+02   6.427127e+00   2.014596e+04   6.475663e+02  -8.352110e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.029211e+04   5.645746e-01   3.394778e-01   3.962456e-01
 POSE   1673   1.374386e+02   6.427127e+00   6.899522e+04   4.152529e+02  -8.346451e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.892443e+04   7.525089e-01   3.394778e-01   2.298717e-01
 POSE   1674   1.212484e+02   6.427127e+00   2.563683e+04   5.902024e+02  -8.359819e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.572346e+04   6.421558e-01   3.394778e-01   2.198742e-01
 POSE   1675   1.307955e+02   6.427127e+00   1.645225e+04   4.750833e+02  -8.354444e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.643384e+04   5.755140e-01   3.394778e-01   3.352399e-01
 POSE   1676   1.360574e+02   6.427127e+00   1.970174e+05   5.011370e+02  -8.328390e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.970329e+05   5.028019e-01   3.394778e-01   3.878872e-01
 POSE   1677   1.256954e+02   6.427127e+00   1.246408e+04   5.720006e+02  -8.344389e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.253850e+04   5.373214e-01   3.394778e-01   1.925037e-01
 POSE   1678   1.401156e+02   6.427127e+00   4.947964e+03   5.407478e+02  -8.322075e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.007779e+03   6.068720e-01   3.394778e-01   2.159626e-01
 POSE   1679   1.203019e+02   6.427127e+00   8.705700e+04   6.026558e+02  -8.325839e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.715854e+04   6.166411e-01   3.394778e-01   2.350760e-01
 POSE   1680   1.247616e+02   6.427127e+00   1.498878e+05   5.242936e+02  -8.331209e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.499148e+05   5.972756e-01   3.394778e-01   3.169326e-01
 POSE   1681   1.342907e+02   6.427127e+00   1.878978e+03   5.847094e+02  -8.332146e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.975922e+03   4.138112e-01   3.394778e-01   2.906312e-01
 POSE   1682   1.338267e+02   6.427127e+00   3.265049e+03   4.821392e+02  -8.354339e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.256740e+03   5.953105e-01   3.394778e-01   3.431248e-01
 POSE   1683   1.257568e+02   6.427127e+00   3.998700e+03   4.930011e+02  -8.365422e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.992075e+03   7.324935e-01   3.394778e-01   2.535430e-01
 POSE   1684   1.226647e+02   6.427127e+00   8.153346e+03   6.395038e+02  -8.331470e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.293527e+03   5.499638e-01   3.394778e-01   2.258700e-01
 POSE   1685   1.298834e+02   6.427127e+00   1.124309e+05   6.577594e+02  -8.331847e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.125965e+05   5.139158e-01   3.394778e-01   1.630789e-01
 POSE   1686   1.246344e+02   6.427127e+00   6.325749e+04   5.677533e+02  -8.301175e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.333092e+04   4.913505e-01   3.394778e-01   2.284596e-01
 POSE   1687   1.278717e+02   6.427127e+00   1.982685e+02   5.722487e+02  -8.331910e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.763569e+02   5.451464e-01   3.394778e-01   9.653159e-02
 POSE   1688   1.208845e+02   6.427127e+00   4.922774e+04   4.247933e+02  -8.319634e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.915261e+04   6.553502e-01   3.394778e-01   2.574588e-01
 POSE   1689   1.349808e+02   6.427127e+00   6.318784e+04   5.388635e+02  -8.291971e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.324364e+04   6.876529e-01   3.394778e-01   2.304221e-01
 POSE   1690   1.238956e+02   6.427127e+00   9.521945e+03   4.618181e+02  -8.305982e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.488219e+03   6.516473e-01   3.394778e-01   2.241133e-01
 POSE   1691   1.241585e+02   6.427127e+00   1.609791e+05   4.967132e+02  -8.348593e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.609763e+05   5.942315e-01   3.394778e-01   4.182200e-01
 POSE   1692   1.304622e+02   6.427127e+00   1.808275e+03   2.968576e+02  -8.306985e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.616055e+03   7.602332e-01   3.394778e-01   1.977812e-01
 POSE   1693   1.146923e+02   6.427127e+00   7.244788e+03   5.659910e+02  -8.307064e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.305924e+03   3.122222e-01   3.394778e-01   2.193556e-01
 POSE   1694   1.315185e+02   6.427127e+00   9.192716e+04   5.597526e+02  -8.302675e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.199932e+04   5.815185e-01   3.394778e-01   3.507706e-01
 POSE   1695   1.361971e+02   6.427127e+00   1.200196e+03   4.367996e+02  -8.306230e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.153729e+03   7.018797e-01   3.394778e-01   1.637779e-01
 POSE   1696   1.289244e+02   6.427127e+00   3.353708e+04   5.559333e+02  -8.286215e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.360448e+04   5.832848e-01   3.394778e-01   2.912236e-01
 POSE   1697   1.390643e+02   6.427127e+00   4.821664e+04   5.306856e+02  -8.328937e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.826466e+04   5.397747e-01   3.394778e-01   2.426096e-01
 POSE   1698   1.305138e+02   6.427127e+00   1.445217e+04   5.099523e+02  -8.296513e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.447414e+04   2.032922e-01   3.394778e-01   2.557506e-01
 POSE   1699   1.271598e+02   6.427127e+00   8.341341e+04   5.534128e+02  -8.363029e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.346883e+04   6.740517e-01   3.394778e-01   3.367243e-01
 POSE   1700   1.230412e+02   6.427127e+00   1.712781e+05   6.351865e+02  -8.361497e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.714113e+05   6.026261e-01   3.394778e-01   3.731917e-01
 POSE   1701   1.362894e+02   6.427127e+00   1.172088e+05   4.227664e+02  -8.340549e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.171450e+05   7.430737e-01   3.394778e-01   2.798314e-01
 POSE   1702   1.312987e+02   6.427127e+00   5.240524e+04   6.267991e+02  -8.328079e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.254169e+04   6.111829e-01   3.394778e-01   3.220701e-01
 POSE   1703   1.291355e+02   6.427127e+00   2.447399e+04   5.149755e+02  -8.331934e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.449606e+04   7.018701e-01   3.394778e-01   2.670369e-01
 POSE   1704   1.238703e+02   6.427127e+00   9.087747e+03   4.618270e+02  -8.322830e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.052320e+03   6.710106e-01   3.394778e-01   2.491979e-01
 POSE   1705   1.116323e+02   6.427127e+00   1.715549e+04   4.309069e+02  -8.336443e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.707555e+04   6.785915e-01   3.394778e-01   4.153518e-01
 POSE   1706   1.280779e+02   6.427127e+00   6.840572e+04   5.036720e+02  -8.328766e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.841575e+04   4.719290e-01   3.394778e-01   3.089301e-01
 POSE   1707   1.391112e+02   6.427127e+00   1.594226e+04   5.001076e+02  -8.331967e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.595944e+04   5.695537e-01   3.394778e-01   3.105981e-01
 POSE   1708   1.294431e+02   6.427127e+00   1.278413e+04   5.255928e+02  -8.332456e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.281708e+04   6.065057e-01   3.394778e-01   1.885682e-01
 POSE   1709   1.191287e+02   6.427127e+00   1.869777e+04   4.765373e+02  -8.372557e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.866734e+04   6.617675e-01   3.394778e-01   3.231092e-01
 POSE   1710   1.283922e+02   6.427127e+00   1.247597e+04   5.290606e+02  -8.357354e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.250885e+04   5.661795e-01   3.394778e-01   2.497614e-01
 POSE   1711   1.363877e+02   6.427127e+00   2.587860e+05   5.149681e+02  -8.306434e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.588178e+05   5.561583e-01   3.394778e-01   4.968456e-01
 POSE   1712   1.233065e+02   6.427127e+00   1.523266e+04   5.292831e+02  -8.310794e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.526533e+04   3.799929e-01   3.394778e-01   3.199908e-01
 POSE   1713   1.293877e+02   6.427127e+00   2.975833e+03   6.712586e+02  -8.339744e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.153664e+03   7.110070e-01   3.394778e-01   1.308697e-01
 POSE   1714   1.408344e+02   6.427127e+00   5.414412e+03   5.139367e+02  -8.303352e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.450007e+03   7.958085e-01   3.394778e-01   1.886718e-01
 POSE   1715   1.293015e+02   6.427127e+00   4.246423e+04   5.537087e+02  -8.337103e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.252469e+04   7.052044e-01   3.394778e-01   3.332635e-01
 POSE   1716   1.223446e+02   6.427127e+00   1.239724e+05   5.611619e+02  -8.290306e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.240381e+05   4.592407e-01   3.394778e-01   4.000870e-01
 POSE   1717   1.193667e+02   6.427127e+00   1.423798e+05   5.793826e+02  -8.320006e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.424577e+05   6.269107e-01   3.394778e-01   2.857041e-01
 POSE   1718   1.241618e+02   6.427127e+00   1.416742e+04   4.217953e+02  -8.340567e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.409047e+04   7.752186e-01   3.394778e-01   2.821404e-01
 POSE   1719   1.372029e+02   6.427127e+00   3.720610e+02   4.137598e+02  -8.339919e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.001908e+02   7.768177e-01   3.394778e-01   5.449810e-02
 POSE   1720   1.236540e+02   6.427127e+00   8.636563e+03   5.774105e+02  -8.365914e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.712195e+03   6.996234e-01   3.394778e-01   1.887177e-01
 POSE   1721   1.243858e+02   6.427127e+00   1.113011e+02   5.798074e+02  -8.357178e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.909355e+02   5.908583e-01   3.394778e-01   1.723672e-01
 POSE   1722   1.406659e+02   6.427127e+00   2.439868e+04   5.026315e+02  -8.291861e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.442395e+04   3.925207e-01   3.394778e-01   1.985665e-01
 POSE   1723   1.314386e+02   6.427127e+00   2.800591e+05   7.940466e+02  -8.343092e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.803614e+05   6.319688e-01   3.394778e-01   3.451989e-01
 POSE   1724   1.280148e+02   6.427127e+00   7.021917e+03   4.578364e+02  -8.344657e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.984461e+03   6.752304e-01   3.394778e-01   2.273367e-01
 POSE   1725   1.389203e+02   6.427127e+00   1.235118e+04   3.231982e+02  -8.315685e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.219289e+04   7.825521e-01   3.394778e-01   1.850847e-01
 POSE   1726   1.306690e+02   6.427127e+00   7.375734e+04   7.318459e+02  -8.304919e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.400052e+04   5.362722e-01   3.394778e-01   3.021486e-01
 POSE   1727   1.190929e+02   6.427127e+00   4.332096e+03   5.575754e+02  -8.363801e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.383543e+03   7.342134e-01   3.394778e-01   1.261108e-01
 POSE   1728   1.161809e+02   6.427127e+00   2.799569e+04   5.003679e+02  -8.356884e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.798771e+04   6.072951e-01   3.394778e-01   3.097891e-01
 POSE   1729   1.381342e+02   6.427127e+00   3.740909e+04   5.729444e+02  -8.330702e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.749826e+04   6.375210e-01   3.394778e-01   2.024656e-01
 POSE   1730   1.286428e+02   6.427127e+00   1.603725e+04   6.222769e+02  -8.322462e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.616709e+04   7.388581e-01   3.394778e-01   2.382098e-01
 POSE   1731   1.302241e+02   6.427127e+00   4.088636e+04   4.934344e+02  -8.326371e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.088854e+04   6.939263e-01   3.394778e-01   2.655253e-01
 POSE   1732   1.258177e+02   6.427127e+00   1.412302e+04   5.047521e+02  -8.312219e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.413353e+04   7.382019e-01   3.394778e-01   2.334243e-01
 POSE   1733   1.178116e+02   6.427127e+00   1.684056e+04   5.179846e+02  -8.352480e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.685227e+04   5.580421e-01   3.394778e-01   2.574602e-01
 POSE   1734   1.175732e+02   6.427127e+00   6.558310e+03   5.956096e+02  -8.360613e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.646591e+03   5.390993e-01   3.394778e-01   2.662559e-01
 POSE   1735   1.194435e+02   6.427127e+00   6.520696e+04   5.627637e+02  -8.305468e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.526978e+04   5.219279e-01   3.394778e-01   2.092230e-01
 POSE   1736   1.304408e+02   6.427127e+00   2.752747e+04   4.951416e+02  -8.308597e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.753335e+04   4.973493e-01   3.394778e-01   3.106710e-01
 POSE   1737   1.411857e+02   6.427127e+00   3.359984e+04   4.601655e+02  -8.302611e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.358209e+04   6.690979e-01   3.394778e-01   2.438898e-01
 POSE   1738   1.392564e+02   6.427127e+00   2.995830e+04   4.340519e+02  -8.324766e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.991029e+04   5.207954e-01   3.394778e-01   3.206409e-01
 POSE   1739   1.311751e+02   6.427127e+00   5.637726e+03   5.657406e+02  -8.313809e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.714420e+03   5.995177e-01   3.394778e-01   2.217145e-01
 POSE   1740   1.189799e+02   6.427127e+00   2.310193e+04   5.679085e+02  -8.358663e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.316411e+04   6.459781e-01   3.394778e-01   3.162077e-01
 POSE   1741   1.305701e+02   6.427127e+00   7.786257e+03   5.575832e+02  -8.290396e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.856529e+03   5.939823e-01   3.394778e-01   1.762648e-01
 POSE   1742   1.122186e+02   6.427127e+00   6.710289e+04   5.871206e+02  -8.372424e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.717615e+04   6.550718e-01   3.394778e-01   3.304898e-01
 POSE   1743   1.357650e+02   6.427127e+00   6.200399e+04   4.881938e+02  -8.285333e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.201057e+04   5.479118e-01   3.394778e-01   1.869038e-01
 POSE   1744   1.176717e+02   6.427127e+00   1.999655e+04   4.616299e+02  -8.315227e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.995549e+04   3.191610e-01   3.394778e-01   2.653299e-01
 POSE   1745   1.285508e+02   6.427127e+00   1.090391e+04   5.855963e+02  -8.300369e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.099918e+04   6.391595e-01   3.394778e-01   1.501316e-01
 POSE   1746   1.271928e+02   6.427127e+00   4.705522e+04   5.800658e+02  -8.307573e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.714288e+04   4.932603e-01   3.394778e-01   2.740162e-01
 POSE   1747   1.299333e+02   6.427127e+00   4.261737e+03   5.516181e+02  -8.339439e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.320504e+03   5.652504e-01   3.394778e-01   2.210385e-01
 POSE   1748   1.362785e+02   6.427127e+00   1.649373e+04   4.811863e+02  -8.341902e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.648817e+04   7.230614e-01   3.394778e-01   3.084826e-01
 POSE   1749   1.291360e+02   6.427127e+00   3.281290e+03   5.956571e+02  -8.319677e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.385275e+03   5.978539e-01   3.394778e-01   2.069372e-01
 POSE   1750   1.303534e+02   6.427127e+00   7.192275e+04   6.030710e+02  -8.292794e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.203805e+04   4.707275e-01   3.394778e-01   4.325980e-01
 POSE   1751   1.146280e+02   6.427127e+00   2.636051e+05   4.363037e+02  -8.313309e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.635359e+05   4.876207e-01   3.394778e-01   4.212931e-01
 POSE   1752   1.350145e+02   6.427127e+00   1.121355e+04   6.059438e+02  -8.326143e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.133305e+04   6.409333e-01   3.394778e-01   2.847756e-01
 POSE   1753   1.202150e+02   6.427127e+00  -8.194821e+01   4.723444e+02  -8.318990e+02   0.000000e+00   0.000000e+00   0.000000e+00  -1.101287e+02   7.692569e-01   3.394778e-01   6.372200e-02
 POSE   1754   1.267758e+02   6.427127e+00   3.782152e+04   5.266052e+02  -8.328634e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.785320e+04   5.728842e-01   3.394778e-01   2.900830e-01
 POSE   1755   1.243260e+02   6.427127e+00   1.134231e+05   4.441702e+02  -8.322545e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.133705e+05   6.866539e-01   3.394778e-01   3.177296e-01
 POSE   1756   1.208410e+02   6.427127e+00   3.073957e+03   5.302563e+02  -8.377364e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.098477e+03   7.271460e-01   3.394778e-01   2.684213e-01
 POSE   1757   1.264653e+02   6.427127e+00   2.044953e+03   5.177061e+02  -8.302637e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.070020e+03   6.912393e-01   3.394778e-01   2.537207e-01
 POSE   1758   1.291627e+02   6.427127e+00   3.064383e+04   6.044912e+02  -8.324085e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.075623e+04   6.375698e-01   3.394778e-01   3.204587e-01
 POSE   1759   1.382052e+02   6.427127e+00   3.270977e+04   5.259768e+02  -8.309787e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.275413e+04   6.133221e-01   3.394778e-01   2.415805e-01
 POSE   1760   1.443001e+02   6.427127e+00   2.563622e+03   4.080288e+02  -8.315071e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.495603e+03   6.879959e-01   3.394778e-01   1.980689e-01
 POSE   1761   1.106287e+02   6.427127e+00   1.383155e+05   5.557915e+02  -8.384438e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.383546e+05   6.562604e-01   3.394778e-01   3.033233e-01
 POSE   1762   1.418947e+02   6.427127e+00   3.450467e+04   5.565556e+02  -8.275667e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.458671e+04   6.824020e-01   3.394778e-01   4.759339e-01
 POSE   1763   1.327163e+02   6.427127e+00   1.230246e+03   4.644939e+02  -8.289895e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.209626e+03   6.497218e-01   3.394778e-01   1.967394e-01
 POSE   1764   1.280544e+02   6.427127e+00   6.809778e+04   5.619004e+02  -8.357654e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.816312e+04   7.207057e-01   3.394778e-01   3.771546e-01
 POSE   1765   1.380840e+02   6.427127e+00   2.273586e+05   6.407081e+02  -8.329234e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.275156e+05   4.587520e-01   3.394778e-01   3.643316e-01
 POSE   1766   1.263550e+02   6.427127e+00   3.793021e+04   4.835165e+02  -8.335758e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.791767e+04   4.859567e-01   3.394778e-01   2.434516e-01
 POSE   1767   1.291971e+02   6.427127e+00   6.644311e+04   7.331493e+02  -8.359464e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.668067e+04   6.332988e-01   3.394778e-01   3.645426e-01
 POSE   1768   1.151467e+02   6.427127e+00   1.292750e+05   6.211612e+02  -8.338687e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.293886e+05   5.904605e-01   3.394778e-01   3.310902e-01
 POSE   1769   1.400321e+02   6.427127e+00   6.690900e+03   5.075342e+02  -8.327598e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.716865e+03   5.329056e-01   3.394778e-01   1.819321e-01
 POSE   1770   1.282400e+02   6.427127e+00   1.214203e+05   4.650070e+02  -8.355328e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.213891e+05   6.883975e-01   3.394778e-01   4.201017e-01
 POSE   1771   1.173090e+02   6.427127e+00   3.092082e+04   5.186572e+02  -8.326473e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.093530e+04   2.867986e-01   3.394778e-01   2.216564e-01
 POSE   1772   1.336056e+02   6.427127e+00   2.022035e+04   5.415396e+02  -8.353574e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.027129e+04   5.706557e-01   3.394778e-01   3.844129e-01
 POSE   1773   1.241557e+02   6.427127e+00   1.464231e+05   5.235434e+02  -8.357903e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.464462e+05   4.823963e-01   3.394778e-01   3.830993e-01
 POSE   1774   1.180447e+02   6.427127e+00   3.191585e+04   4.870135e+02  -8.375603e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.189451e+04   6.461428e-01   3.394778e-01   1.890522e-01
 POSE   1775   1.142275e+02   6.427127e+00   3.517229e+03   4.969097e+02  -8.317352e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.507790e+03   6.666017e-01   3.394778e-01   2.677851e-01
 POSE   1776   1.346282e+02   6.427127e+00   3.510096e+03   6.273750e+02  -8.282126e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.655045e+03   4.344377e-01   3.394778e-01   1.816401e-01
 POSE   1777   1.225427e+02   6.427127e+00   8.421666e+02   5.837089e+02  -8.303965e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.291807e+02   7.449884e-01   3.394778e-01   1.113631e-01
 POSE   1778   1.260567e+02   6.427127e+00   4.605496e+01   5.531621e+02  -8.317715e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.046612e+02   3.102487e-01   3.394778e-01   1.251388e-01
 POSE   1779   1.357309e+02   6.427127e+00   3.356134e+04   5.747822e+02  -8.337229e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.364929e+04   5.930944e-01   3.394778e-01   3.622860e-01
 POSE   1780   1.364529e+02   6.427127e+00   6.755918e+03   5.896940e+02  -8.326777e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.860546e+03   5.653936e-01   3.394778e-01   1.539732e-01
 POSE   1781   1.281565e+02   6.427127e+00   2.139223e+03   5.437090e+02  -8.361443e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.186103e+03   7.337970e-01   3.394778e-01   1.586182e-01
 POSE   1782   1.238350e+02   6.427127e+00   1.814938e+04   5.861506e+02  -8.352979e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.823523e+04   5.108922e-01   3.394778e-01   1.396049e-01
 POSE   1783   1.253280e+02   6.427127e+00   1.438486e+04   6.263727e+02  -8.337533e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.451397e+04   6.590625e-01   3.394778e-01   2.659254e-01
 POSE   1784   1.289321e+02   6.427127e+00   8.824437e+02   6.088076e+02  -8.344254e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.969170e+02   5.754788e-01   3.394778e-01   1.566733e-01
 POSE   1785   1.213278e+02   6.427127e+00   1.047181e+04   4.351874e+02  -8.327342e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.040675e+04   7.045338e-01   3.394778e-01   2.767021e-01
 POSE   1786   1.411277e+02   6.427127e+00   1.783068e+05   6.121323e+02  -8.330555e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.784381e+05   6.451141e-01   3.394778e-01   3.830258e-01
 POSE   1787   1.304657e+02   6.427127e+00   1.979536e+05   5.643947e+02  -8.330219e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.980265e+05   3.188527e-01   3.394778e-01   5.664708e-01
 POSE   1788   1.379968e+02   6.427127e+00   2.531577e+04   5.492304e+02  -8.292792e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.538487e+04   5.560623e-01   3.394778e-01   1.147459e-01
 POSE   1789   1.212674e+02   6.427127e+00   1.757060e+04   4.470315e+02  -8.323973e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.751766e+04   5.990555e-01   3.394778e-01   3.180053e-01
 POSE   1790   1.319947e+02   6.427127e+00   4.313262e+04   4.774023e+02  -8.360051e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.311717e+04   6.172758e-01   3.394778e-01   2.820120e-01
